Asset ID,Product Name,Vendor,Version,Environment,Owner
ASSET-001,Log4j,Apache,2.14.1,Production,Platform Team
ASSET-002,Log4j,Apache,2.15.0,Staging,Platform Team
ASSET-003,Struts 2,Apache,2.5.10,Production,Backend Team
ASSET-004,HTTP Server,Apache,2.4.49,Production,Infrastructure
ASSET-005,Tomcat,Apache,9.0.50,Production,DevOps
ASSET-006,Tomcat,Apache,8.5.60,Staging,DevOps
ASSET-007,Solr,Apache,8.11.0,Production,Search Team
ASSET-008,Hadoop,Apache,3.2.0,Production,Data Team
ASSET-009,Kafka,Apache,2.8.0,Production,Data Team
ASSET-010,Zookeeper,Apache,3.5.9,Production,Data Team
ASSET-011,WordPress,Automattic,5.8.0,Production,Web Team
ASSET-012,WordPress,Automattic,5.6.0,Production,Marketing
ASSET-013,WordPress,Automattic,4.9.0,Production,Content Team
ASSET-014,Joomla,Open Source Matters,3.10.0,Production,Web Team
ASSET-015,Drupal,Drupal Association,9.2.0,Production,CMS Team
ASSET-016,Drupal,Drupal Association,8.9.0,Production,CMS Team
ASSET-017,OpenSSL,OpenSSL Foundation,1.0.2,Production,Security Team
ASSET-018,OpenSSL,OpenSSL Foundation,1.1.1,Production,Platform Team
ASSET-019,OpenSSL,OpenSSL Foundation,3.0.0,Staging,Platform Team
ASSET-020,VMware ESXi,VMware,7.0.0,Production,Infrastructure
ASSET-021,VMware ESXi,VMware,6.7.0,Production,Infrastructure
ASSET-022,VMware vCenter,VMware,7.0.0,Production,Infrastructure
ASSET-023,VMware Horizon,VMware,8.2.0,Production,VDI Team
ASSET-024,Exchange Server,Microsoft,15.1.2375,Production,IT Operations
ASSET-025,Exchange Server,Microsoft,15.0.1497,Production,IT Operations
ASSET-026,SharePoint Server,Microsoft,16.0.10368,Production,Collaboration
ASSET-027,Windows Server,Microsoft,2019 1809,Production,Infrastructure
ASSET-028,Windows Server,Microsoft,2016 1607,Production,Infrastructure
ASSET-029,Windows Server,Microsoft,2012 R2,Production,Legacy Systems
